"ID","Question","Category","Response","Keywords","Examples","Date","Status"
"529","""How do I request a copy of my employment verification?""","""Personal Information""","""You can access your pay stubs through the payroll section of the employee portal.""","""Remote work,Eligibility,Manager consultation""","""When are performance reviews held?""","""2023-10-30""","""TRAIN"""
"530","""What is the company's leave policy?""","""Employee Benefits""","""You can access your pay stubs through the payroll section of the employee portal.""","""Employee benefits,Health insurance,Retirement plans""","""How do I report harassment?""","""2022-11-30""","""VALIDATE"""
"531","""Who should I contact for IT support?""","""Workplace Harassment""","""To request time off, please submit a leave request form through the employee portal.""","""Employment verification,HR request,Employment letter""","""When are performance reviews held?""","""2024-02-12""","""TRAIN"""
"532","""How do I request a copy of my employment verification?""","""Employment Verification""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Performance reviews,Annual review,HR procedures""","""What are the employee perks?""","""2023-04-29""","""TRAIN"""
"533","""How can I update my personal information?""","""Leave Request""","""You can access your pay stubs through the payroll section of the employee portal.""","""Performance reviews,Annual review,HR procedures""","""How do I get IT help?""","""2022-01-29""","""VALIDATE"""
"534","""How do I request a copy of my employment verification?""","""Workplace Harassment""","""To request time off, please submit a leave request form through the employee portal.""","""Workplace harassment,HR reporting,Email report""","""What are the employee perks?""","""2023-08-06""","""VALIDATE"""
"535","""What is the procedure for performance reviews?""","""Employee Benefits""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Pay stubs,Employee portal,Payroll section""","""Where can I find my pay stubs online?""","""2021-09-15""","""VALIDATE"""
"536","""What is the procedure for performance reviews?""","""Remote Work""","""You can access your pay stubs through the payroll section of the employee portal.""","""Employee benefits,Health insurance,Retirement plans""","""How can I get an employment verification letter?""","""2020-04-10""","""VALIDATE"""
"537","""Who should I contact for IT support?""","""Leave Policy""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Workplace harassment,HR reporting,Email report""","""How do I report harassment?""","""2020-10-11""","""TEST"""
"538","""What is the procedure for performance reviews?""","""Remote Work""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Workplace harassment,HR reporting,Email report""","""How can I get an employment verification letter?""","""2023-09-15""","""TRAIN"""
"539","""Who should I contact for IT support?""","""Leave Request""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Request time off,Leave request form,Employee portal""","""Where can I find my pay stubs online?""","""2024-01-18""","""TEST"""
"540","""How do I request a copy of my employment verification?""","""Personal Information""","""To request an employment verification letter, please contact HR with your request.""","""Employee benefits,Health insurance,Retirement plans""","""What is annual leave?""","""2022-05-30""","""TRAIN"""
"541","""How can I request time off?""","""Pay Stubs""","""To request time off, please submit a leave request form through the employee portal.""","""Remote work,Eligibility,Manager consultation""","""How do I submit a leave request?""","""2023-01-08""","""TEST"""
"542","""What benefits does the company offer?""","""Employee Benefits""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Performance reviews,Annual review,HR procedures""","""What are the employee perks?""","""2021-11-13""","""TRAIN"""
"543","""Who should I contact for IT support?""","""IT Support""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Workplace harassment,HR reporting,Email report""","""How do I get IT help?""","""2021-10-24""","""TRAIN"""
"544","""What is the company's policy on remote work?""","""Employment Verification""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""When are performance reviews held?""","""2022-08-06""","""VALIDATE"""
"545","""How do I access my pay stubs?""","""Personal Information""","""To request time off, please submit a leave request form through the employee portal.""","""Update personal information,Employee portal,Profile section""","""How do I submit a leave request?""","""2021-07-10""","""TRAIN"""
"546","""How do I access my pay stubs?""","""Leave Request""","""To request time off, please submit a leave request form through the employee portal.""","""Employee benefits,Health insurance,Retirement plans""","""How can I get an employment verification letter?""","""2023-12-11""","""VALIDATE"""
"547","""What is the procedure for performance reviews?""","""IT Support""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Pay stubs,Employee portal,Payroll section""","""Where can I find my pay stubs online?""","""2023-04-21""","""TEST"""
"548","""How do I access my pay stubs?""","""IT Support""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""Where can I find my pay stubs online?""","""2024-04-13""","""TRAIN"""
"549","""How do I request a copy of my employment verification?""","""Leave Policy""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""When are performance reviews held?""","""2023-07-06""","""VALIDATE"""
"550","""How do I access my pay stubs?""","""Personal Information""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Performance reviews,Annual review,HR procedures""","""What is annual leave?""","""2020-12-29""","""VALIDATE"""
"551","""How can I request time off?""","""Remote Work""","""To request time off, please submit a leave request form through the employee portal.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""When are performance reviews held?""","""2023-06-18""","""TRAIN"""
"552","""What is the procedure for performance reviews?""","""Performance Reviews""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Pay stubs,Employee portal,Payroll section""","""How do I report harassment?""","""2023-08-20""","""VALIDATE"""
"553","""What benefits does the company offer?""","""Personal Information""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Employee benefits,Health insurance,Retirement plans""","""What are the employee perks?""","""2020-11-23""","""TRAIN"""
"554","""What is the process for reporting workplace harassment?""","""Leave Policy""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""How do I change my address in the system?""","""2022-10-27""","""TRAIN"""
"555","""What is the process for reporting workplace harassment?""","""Workplace Harassment""","""To request an employment verification letter, please contact HR with your request.""","""Pay stubs,Employee portal,Payroll section""","""How do I get IT help?""","""2020-04-27""","""VALIDATE"""
"556","""What is the company's leave policy?""","""Remote Work""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""What is annual leave?""","""2024-07-10""","""VALIDATE"""
"557","""How can I update my personal information?""","""Personal Information""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Performance reviews,Annual review,HR procedures""","""How do I report harassment?""","""2024-06-03""","""VALIDATE"""
"558","""What is the company's leave policy?""","""Personal Information""","""To request an employment verification letter, please contact HR with your request.""","""Update personal information,Employee portal,Profile section""","""How do I change my address in the system?""","""2023-10-05""","""TEST"""
"559","""How do I request a copy of my employment verification?""","""Performance Reviews""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Update personal information,Employee portal,Profile section""","""How can I get an employment verification letter?""","""2021-07-06""","""TRAIN"""
"560","""What is the process for reporting workplace harassment?""","""Personal Information""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""IT support,Helpdesk,Contact IT""","""How do I report harassment?""","""2020-05-10""","""TRAIN"""
"561","""How can I request time off?""","""Pay Stubs""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Employee benefits,Health insurance,Retirement plans""","""How do I change my address in the system?""","""2022-05-31""","""TEST"""
"562","""How do I request a copy of my employment verification?""","""Personal Information""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Employee benefits,Health insurance,Retirement plans""","""What are the employee perks?""","""2022-09-19""","""TRAIN"""
"563","""What is the company's policy on remote work?""","""Leave Request""","""To request time off, please submit a leave request form through the employee portal.""","""Request time off,Leave request form,Employee portal""","""What are the employee perks?""","""2023-01-27""","""VALIDATE"""
"564","""What is the process for reporting workplace harassment?""","""Workplace Harassment""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Employment verification,HR request,Employment letter""","""How do I get IT help?""","""2022-10-27""","""TRAIN"""
"565","""What is the process for reporting workplace harassment?""","""Employment Verification""","""To request an employment verification letter, please contact HR with your request.""","""Workplace harassment,HR reporting,Email report""","""What are the employee perks?""","""2020-03-30""","""TRAIN"""
"566","""What is the company's leave policy?""","""Workplace Harassment""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Performance reviews,Annual review,HR procedures""","""Can I work from home?""","""2021-08-26""","""TRAIN"""
"567","""What is the process for reporting workplace harassment?""","""Remote Work""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Pay stubs,Employee portal,Payroll section""","""How do I get IT help?""","""2021-10-26""","""VALIDATE"""
"568","""What is the company's leave policy?""","""Employment Verification""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Remote work,Eligibility,Manager consultation""","""How do I submit a leave request?""","""2020-02-05""","""TEST"""
"569","""What is the procedure for performance reviews?""","""Workplace Harassment""","""To request time off, please submit a leave request form through the employee portal.""","""Performance reviews,Annual review,HR procedures""","""How do I report harassment?""","""2021-01-26""","""TEST"""
"570","""What is the procedure for performance reviews?""","""Pay Stubs""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""How do I submit a leave request?""","""2021-03-14""","""VALIDATE"""
"571","""What is the company's policy on remote work?""","""Performance Reviews""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Employee benefits,Health insurance,Retirement plans""","""How can I get an employment verification letter?""","""2022-06-07""","""TEST"""
"572","""How do I access my pay stubs?""","""Performance Reviews""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""IT support,Helpdesk,Contact IT""","""What are the employee perks?""","""2023-10-07""","""TRAIN"""
"573","""How can I request time off?""","""Employment Verification""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Request time off,Leave request form,Employee portal""","""What is annual leave?""","""2024-04-06""","""TRAIN"""
"574","""What is the process for reporting workplace harassment?""","""Performance Reviews""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Update personal information,Employee portal,Profile section""","""How do I submit a leave request?""","""2023-12-14""","""TEST"""
"575","""What is the process for reporting workplace harassment?""","""Pay Stubs""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Pay stubs,Employee portal,Payroll section""","""How do I change my address in the system?""","""2024-06-22""","""TEST"""
"576","""How do I access my pay stubs?""","""Personal Information""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Workplace harassment,HR reporting,Email report""","""How do I report harassment?""","""2024-02-05""","""TEST"""
"577","""How do I access my pay stubs?""","""IT Support""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Update personal information,Employee portal,Profile section""","""When are performance reviews held?""","""2021-04-08""","""TEST"""
"578","""What is the procedure for performance reviews?""","""Personal Information""","""To request an employment verification letter, please contact HR with your request.""","""Remote work,Eligibility,Manager consultation""","""What are the employee perks?""","""2022-04-23""","""TEST"""
"579","""How can I request time off?""","""Workplace Harassment""","""To request time off, please submit a leave request form through the employee portal.""","""Employee benefits,Health insurance,Retirement plans""","""How do I get IT help?""","""2024-06-29""","""TEST"""
"580","""What is the procedure for performance reviews?""","""Leave Request""","""To request time off, please submit a leave request form through the employee portal.""","""Request time off,Leave request form,Employee portal""","""What is annual leave?""","""2024-05-11""","""TEST"""
"581","""What is the procedure for performance reviews?""","""Leave Request""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Update personal information,Employee portal,Profile section""","""Can I work from home?""","""2022-03-19""","""VALIDATE"""
"582","""What is the procedure for performance reviews?""","""Pay Stubs""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""Where can I find my pay stubs online?""","""2024-04-25""","""TEST"""
"583","""How can I update my personal information?""","""Personal Information""","""You can access your pay stubs through the payroll section of the employee portal.""","""Request time off,Leave request form,Employee portal""","""What are the employee perks?""","""2024-02-15""","""VALIDATE"""
"584","""How do I request a copy of my employment verification?""","""Pay Stubs""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Employee benefits,Health insurance,Retirement plans""","""When are performance reviews held?""","""2022-05-13""","""TEST"""
"585","""What is the process for reporting workplace harassment?""","""Remote Work""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""How can I get an employment verification letter?""","""2021-09-22""","""TEST"""
"586","""What is the company's policy on remote work?""","""Performance Reviews""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""IT support,Helpdesk,Contact IT""","""How do I submit a leave request?""","""2024-03-16""","""TEST"""
"587","""How can I request time off?""","""Leave Request""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Workplace harassment,HR reporting,Email report""","""How do I report harassment?""","""2021-01-23""","""TRAIN"""
"588","""How can I update my personal information?""","""Leave Request""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Pay stubs,Employee portal,Payroll section""","""What are the employee perks?""","""2022-05-22""","""TEST"""
"589","""What is the company's policy on remote work?""","""Leave Policy""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Request time off,Leave request form,Employee portal""","""How can I get an employment verification letter?""","""2024-03-15""","""VALIDATE"""
"590","""How do I access my pay stubs?""","""IT Support""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Employee benefits,Health insurance,Retirement plans""","""How do I report harassment?""","""2021-01-02""","""TRAIN"""
"591","""What is the company's leave policy?""","""Employment Verification""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Update personal information,Employee portal,Profile section""","""What is annual leave?""","""2020-09-13""","""TRAIN"""
"592","""Who should I contact for IT support?""","""IT Support""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Request time off,Leave request form,Employee portal""","""How do I change my address in the system?""","""2020-03-18""","""VALIDATE"""
"593","""How can I update my personal information?""","""Personal Information""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Performance reviews,Annual review,HR procedures""","""How do I report harassment?""","""2021-08-25""","""VALIDATE"""
"594","""How do I access my pay stubs?""","""Leave Request""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Employee benefits,Health insurance,Retirement plans""","""Where can I find my pay stubs online?""","""2024-05-02""","""TRAIN"""
"595","""How can I request time off?""","""Leave Request""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Employee benefits,Health insurance,Retirement plans""","""How do I get IT help?""","""2021-10-11""","""TEST"""
"596","""What is the company's leave policy?""","""Workplace Harassment""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""IT support,Helpdesk,Contact IT""","""Can I work from home?""","""2020-11-25""","""TRAIN"""
"597","""How do I request a copy of my employment verification?""","""Workplace Harassment""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""What is annual leave?""","""2023-11-29""","""TEST"""
"598","""How can I update my personal information?""","""Performance Reviews""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Performance reviews,Annual review,HR procedures""","""What is annual leave?""","""2022-03-21""","""VALIDATE"""
"599","""What is the procedure for performance reviews?""","""Leave Policy""","""To request an employment verification letter, please contact HR with your request.""","""Remote work,Eligibility,Manager consultation""","""How do I report harassment?""","""2021-03-06""","""TEST"""
"600","""How can I request time off?""","""Employee Benefits""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Request time off,Leave request form,Employee portal""","""What is annual leave?""","""2020-09-03""","""TEST"""
"601","""What benefits does the company offer?""","""Workplace Harassment""","""To request time off, please submit a leave request form through the employee portal.""","""IT support,Helpdesk,Contact IT""","""How do I report harassment?""","""2024-04-19""","""TRAIN"""
"602","""How can I update my personal information?""","""Employment Verification""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""What is annual leave?""","""2024-05-28""","""TEST"""
"603","""What is the company's leave policy?""","""Workplace Harassment""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Workplace harassment,HR reporting,Email report""","""How can I get an employment verification letter?""","""2022-03-26""","""TRAIN"""
"604","""What is the company's policy on remote work?""","""Leave Request""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Performance reviews,Annual review,HR procedures""","""What are the employee perks?""","""2023-06-24""","""TEST"""
"605","""How can I update my personal information?""","""Leave Request""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Employment verification,HR request,Employment letter""","""How can I get an employment verification letter?""","""2022-05-24""","""TEST"""
"606","""What is the process for reporting workplace harassment?""","""Pay Stubs""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Remote work,Eligibility,Manager consultation""","""How do I change my address in the system?""","""2021-08-24""","""TEST"""
"607","""What is the company's leave policy?""","""Workplace Harassment""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Workplace harassment,HR reporting,Email report""","""Can I work from home?""","""2020-04-17""","""TRAIN"""
"608","""What benefits does the company offer?""","""Leave Request""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Employment verification,HR request,Employment letter""","""Where can I find my pay stubs online?""","""2020-12-10""","""VALIDATE"""
"609","""What is the company's policy on remote work?""","""Remote Work""","""To request time off, please submit a leave request form through the employee portal.""","""Workplace harassment,HR reporting,Email report""","""How do I report harassment?""","""2023-11-26""","""TEST"""
"610","""What is the company's policy on remote work?""","""Leave Request""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Update personal information,Employee portal,Profile section""","""Where can I find my pay stubs online?""","""2023-04-29""","""TRAIN"""
"611","""How can I update my personal information?""","""Employee Benefits""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""How do I get IT help?""","""2022-09-24""","""TEST"""
"612","""What benefits does the company offer?""","""Performance Reviews""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Employee benefits,Health insurance,Retirement plans""","""What is annual leave?""","""2024-04-15""","""TRAIN"""
"613","""What is the company's leave policy?""","""Remote Work""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""IT support,Helpdesk,Contact IT""","""Where can I find my pay stubs online?""","""2023-10-16""","""VALIDATE"""
"614","""How do I request a copy of my employment verification?""","""Employment Verification""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Employment verification,HR request,Employment letter""","""How can I get an employment verification letter?""","""2023-12-15""","""VALIDATE"""
"615","""How do I request a copy of my employment verification?""","""Leave Policy""","""To request time off, please submit a leave request form through the employee portal.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""How do I report harassment?""","""2023-05-22""","""VALIDATE"""
"616","""What is the company's policy on remote work?""","""Pay Stubs""","""You can access your pay stubs through the payroll section of the employee portal.""","""IT support,Helpdesk,Contact IT""","""How do I report harassment?""","""2022-12-04""","""TRAIN"""
"617","""How do I request a copy of my employment verification?""","""IT Support""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Employee benefits,Health insurance,Retirement plans""","""How can I get an employment verification letter?""","""2024-02-24""","""TEST"""
"618","""How can I request time off?""","""IT Support""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Employment verification,HR request,Employment letter""","""How do I submit a leave request?""","""2022-04-28""","""VALIDATE"""
"619","""How do I access my pay stubs?""","""Remote Work""","""To request time off, please submit a leave request form through the employee portal.""","""Workplace harassment,HR reporting,Email report""","""Can I work from home?""","""2020-10-06""","""TRAIN"""
"620","""Who should I contact for IT support?""","""Remote Work""","""To request an employment verification letter, please contact HR with your request.""","""Remote work,Eligibility,Manager consultation""","""Can I work from home?""","""2021-07-02""","""TEST"""
"621","""How do I access my pay stubs?""","""Personal Information""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Pay stubs,Employee portal,Payroll section""","""What is annual leave?""","""2020-07-15""","""TRAIN"""
"622","""What benefits does the company offer?""","""Personal Information""","""To request time off, please submit a leave request form through the employee portal.""","""Request time off,Leave request form,Employee portal""","""When are performance reviews held?""","""2020-07-26""","""VALIDATE"""
"623","""How do I access my pay stubs?""","""Personal Information""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Update personal information,Employee portal,Profile section""","""Can I work from home?""","""2023-08-18""","""VALIDATE"""
"624","""What is the process for reporting workplace harassment?""","""Leave Request""","""You can access your pay stubs through the payroll section of the employee portal.""","""Employee benefits,Health insurance,Retirement plans""","""Can I work from home?""","""2020-12-08""","""TRAIN"""
"625","""What is the procedure for performance reviews?""","""Leave Request""","""To request time off, please submit a leave request form through the employee portal.""","""IT support,Helpdesk,Contact IT""","""Can I work from home?""","""2020-07-17""","""TRAIN"""
"626","""What is the company's policy on remote work?""","""Employee Benefits""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Performance reviews,Annual review,HR procedures""","""How do I report harassment?""","""2021-04-11""","""TEST"""
"627","""What benefits does the company offer?""","""Leave Policy""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Workplace harassment,HR reporting,Email report""","""What is annual leave?""","""2022-01-19""","""TRAIN"""
"628","""How can I request time off?""","""IT Support""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""IT support,Helpdesk,Contact IT""","""How do I report harassment?""","""2023-08-18""","""TEST"""
"629","""Who should I contact for IT support?""","""Workplace Harassment""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Performance reviews,Annual review,HR procedures""","""How do I get IT help?""","""2023-12-17""","""TEST"""
"630","""How do I access my pay stubs?""","""Workplace Harassment""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Request time off,Leave request form,Employee portal""","""How do I report harassment?""","""2021-08-31""","""TEST"""
"631","""How do I request a copy of my employment verification?""","""Leave Request""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Remote work,Eligibility,Manager consultation""","""How do I change my address in the system?""","""2021-12-30""","""VALIDATE"""
"632","""What is the procedure for performance reviews?""","""Personal Information""","""To request time off, please submit a leave request form through the employee portal.""","""Employee benefits,Health insurance,Retirement plans""","""What are the employee perks?""","""2020-05-08""","""TRAIN"""
"633","""What benefits does the company offer?""","""Performance Reviews""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Request time off,Leave request form,Employee portal""","""What are the employee perks?""","""2022-04-28""","""VALIDATE"""
"634","""What is the company's policy on remote work?""","""Pay Stubs""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Employee benefits,Health insurance,Retirement plans""","""What are the employee perks?""","""2024-03-23""","""TEST"""
"635","""What is the company's leave policy?""","""Leave Request""","""To request an employment verification letter, please contact HR with your request.""","""Remote work,Eligibility,Manager consultation""","""When are performance reviews held?""","""2023-05-27""","""VALIDATE"""
"636","""How can I update my personal information?""","""IT Support""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Performance reviews,Annual review,HR procedures""","""Where can I find my pay stubs online?""","""2022-12-24""","""VALIDATE"""
"637","""What is the company's leave policy?""","""Leave Policy""","""You can access your pay stubs through the payroll section of the employee portal.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""How do I report harassment?""","""2022-07-03""","""TRAIN"""
"638","""What is the procedure for performance reviews?""","""Pay Stubs""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Employment verification,HR request,Employment letter""","""How can I get an employment verification letter?""","""2020-06-15""","""TEST"""
"639","""What is the procedure for performance reviews?""","""Employment Verification""","""To request time off, please submit a leave request form through the employee portal.""","""Remote work,Eligibility,Manager consultation""","""What is annual leave?""","""2022-09-18""","""TEST"""
"640","""How do I request a copy of my employment verification?""","""Remote Work""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Request time off,Leave request form,Employee portal""","""How do I report harassment?""","""2020-10-16""","""TRAIN"""
"641","""What is the company's policy on remote work?""","""Remote Work""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Update personal information,Employee portal,Profile section""","""How do I get IT help?""","""2023-08-02""","""TEST"""
"642","""Who should I contact for IT support?""","""Pay Stubs""","""To request time off, please submit a leave request form through the employee portal.""","""Remote work,Eligibility,Manager consultation""","""What is annual leave?""","""2022-10-25""","""TRAIN"""
"643","""What benefits does the company offer?""","""IT Support""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Employee benefits,Health insurance,Retirement plans""","""What are the employee perks?""","""2020-02-01""","""TEST"""
"644","""How can I request time off?""","""Personal Information""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""When are performance reviews held?""","""2022-07-22""","""TEST"""
"645","""What is the procedure for performance reviews?""","""Pay Stubs""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Employment verification,HR request,Employment letter""","""What is annual leave?""","""2023-01-07""","""TEST"""
"646","""What is the company's leave policy?""","""Performance Reviews""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Request time off,Leave request form,Employee portal""","""What is annual leave?""","""2020-09-20""","""TRAIN"""
"647","""Who should I contact for IT support?""","""Performance Reviews""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""Can I work from home?""","""2023-06-09""","""VALIDATE"""
"648","""Who should I contact for IT support?""","""Workplace Harassment""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Update personal information,Employee portal,Profile section""","""What is annual leave?""","""2021-03-16""","""TRAIN"""
"649","""How can I request time off?""","""IT Support""","""To request time off, please submit a leave request form through the employee portal.""","""Performance reviews,Annual review,HR procedures""","""How do I submit a leave request?""","""2020-02-18""","""TEST"""
"650","""How can I update my personal information?""","""Pay Stubs""","""To request an employment verification letter, please contact HR with your request.""","""Employee benefits,Health insurance,Retirement plans""","""How do I get IT help?""","""2023-03-27""","""TEST"""
"651","""How do I request a copy of my employment verification?""","""IT Support""","""You can access your pay stubs through the payroll section of the employee portal.""","""Update personal information,Employee portal,Profile section""","""What is annual leave?""","""2023-04-12""","""VALIDATE"""
"652","""How can I request time off?""","""Remote Work""","""To request an employment verification letter, please contact HR with your request.""","""Employee benefits,Health insurance,Retirement plans""","""How do I submit a leave request?""","""2023-01-14""","""VALIDATE"""
"653","""What is the company's leave policy?""","""Remote Work""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Update personal information,Employee portal,Profile section""","""How can I get an employment verification letter?""","""2020-04-20""","""TEST"""
"654","""What benefits does the company offer?""","""IT Support""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Performance reviews,Annual review,HR procedures""","""How do I change my address in the system?""","""2023-09-10""","""TRAIN"""
"655","""How do I access my pay stubs?""","""Leave Request""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Remote work,Eligibility,Manager consultation""","""When are performance reviews held?""","""2021-11-10""","""VALIDATE"""
"656","""How do I access my pay stubs?""","""Remote Work""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Update personal information,Employee portal,Profile section""","""Can I work from home?""","""2020-11-13""","""TEST"""
"657","""What is the company's policy on remote work?""","""Performance Reviews""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Request time off,Leave request form,Employee portal""","""How do I change my address in the system?""","""2020-11-10""","""TEST"""
"658","""How do I access my pay stubs?""","""Employment Verification""","""You can access your pay stubs through the payroll section of the employee portal.""","""Workplace harassment,HR reporting,Email report""","""What are the employee perks?""","""2023-03-19""","""VALIDATE"""
"659","""How can I request time off?""","""Remote Work""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Update personal information,Employee portal,Profile section""","""How do I report harassment?""","""2022-04-27""","""TRAIN"""
"660","""What benefits does the company offer?""","""Leave Request""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Request time off,Leave request form,Employee portal""","""How do I change my address in the system?""","""2020-02-11""","""TRAIN"""
"661","""What is the procedure for performance reviews?""","""Performance Reviews""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""IT support,Helpdesk,Contact IT""","""How do I change my address in the system?""","""2020-05-09""","""TEST"""
